,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
3,CHEMBL2323042,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(C(c2ccccc2)c2ccccc2)CC1,inactive,485.67200000000025,4.6429000000000045,1.0,3.0,5.0
6,CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,573.7340000000003,4.419100000000004,1.0,6.0,7.698970004336019
8,CHEMBL2323037,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccncc2)CC1,active,516.6860000000003,4.027500000000003,1.0,5.0,6.096910013008056
17,CHEMBL2323246,Cc1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,active,529.7250000000005,4.940920000000004,1.0,4.0,6.455931955649724
22,CHEMBL2323059,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,active,478.4640000000003,4.360300000000003,1.0,3.0,6.1249387366083
24,CHEMBL2323057,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Br)ccc2O)CC1,active,504.4690000000003,3.521600000000002,2.0,4.0,6.301029995663981
25,CHEMBL2323056,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccncc2)CC1,inactive,410.56200000000024,2.4485,1.0,4.0,4.838631997765025
27,CHEMBL2323054,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(C(=O)O)cc2)CC1,inactive,453.5830000000003,2.7517000000000005,2.0,4.0,4.3979400086720375
28,CHEMBL2323053,COC(=O)c1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,inactive,467.6100000000004,2.8400999999999996,1.0,5.0,4.823908740944319
36,CHEMBL2321889,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(C(=O)O)c2)CC1,inactive,453.5830000000003,2.7517000000000005,2.0,4.0,4.3979400086720375
37,CHEMBL2323045,COC(=O)c1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,inactive,467.6100000000004,2.8401000000000005,1.0,5.0,4.853871964321762
